Student;ID;SIS User ID;SIS Login ID;Section;Part 1: Multiple choice questions - January 2024 (Remotely Proctored) (473819);Part 2: Practice - January 2024 _ CORRECT VERSION(Remotely Proctored) (475074);Chaptertests Current Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Points (Zittijd januari en juni AJ 2023-2024);Chaptertests Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Final Score (Zittijd januari en juni AJ 2023-2024);Chaptertests Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Points (Zittijd januari en juni AJ 2023-2024);Opdrachten Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Final Score (Zittijd januari en juni AJ 2023-2024);Opdrachten Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Points (Zittijd januari en juni AJ 2023-2024);Imported Assignments Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Final Score (Zittijd januari en juni AJ 2023-2024);Imported Assignments Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Points (Zittijd januari en juni AJ 2023-2024);Test Proctorio Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Final Score (Zittijd januari en juni AJ 2023-2024);Test Proctorio Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Points (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Final Score (Zittijd januari en juni AJ 2023-2024);Migrated Quizzes Unposted Final Score (Zittijd januari en juni AJ 2023-2024);Current Points (Zittijd januari en juni AJ 2023-2024);Final Points (Zittijd januari en juni AJ 2023-2024);Current Score (Zittijd januari en juni AJ 2023-2024);Unposted Current Score (Zittijd januari en juni AJ 2023-2024);Final Score (Zittijd januari en juni AJ 2023-2024);Unposted Final Score (Zittijd januari en juni AJ 2023-2024)
LastName, FirstName 66;188;S_r00188;S_r00188@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);15.53;8.25;8.33;N/A;4.00;4.00;13.00;1.00;27.00;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 67;189;S_r00189;S_r00189@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);5.97;0.25;5.50;N/A;5.50;3.00;;1.00;16.25;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 68;190;S_r00190;S_r00190@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);12.10;0.25;8.00;N/A;5.00;8.00;14.00;1.00;21.00;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 69;191;S_r00191;S_r00191@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);3.60;1.25;12.00;N/A;;;;1.00;5.33;4.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 70;192;S_r00192;S_r00192@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 71;193;S_r00193;S_r00193@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);11.23;1.50;11.17;N/A;6.00;8.00;10.00;1.00;32.75;4.00;2.00;5.45;6.67;5.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 72;194;S_r00194;S_r00194@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);;;;N/A;4.00;;6.00;1.00;19.58;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 73;195;S_r00195;S_r00195@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);14.37;3.75;;N/A;;;;1.00;25.00;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 74;196;S_r00196;S_r00196@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);9.69;0.25;8.00;N/A;6.00;5.00;15.00;1.00;11.50;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 75;197;S_r00197;S_r00197@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);;;;N/A;;;;;0.00;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 76;198;S_r00198;S_r00198@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);20.03;7.40;8.00;N/A;6.00;3.50;13.00;1.00;35.50;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 77;199;S_r00199;S_r00199@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);13.80;1.00;9.33;N/A;3.50;2.50;12.00;1.00;18.66;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 78;200;S_r00200;S_r00200@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);18.60;5.25;11.67;N/A;6.00;11.00;14.00;1.00;29.25;9.00;5.00;8.18;10.00;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 79;201;S_r00201;S_r00201@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);8.50;0.25;3.83;N/A;5.00;8.00;8.00;1.00;21.50;;6.00;3.64;5.56;4.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 80;202;S_r00202;S_r00202@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF04 (Z62903);14.73;1.75;5.83;N/A;5.50;7.00;9.00;1.00;25.00;2.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 81;203;S_r00203;S_r00203@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);19.37;9.50;6.67;N/A;6.00;4.00;12.00;1.00;31.50;4.00;4.00;2.73;5.56;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 82;204;S_r00204;S_r00204@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);11.43;0.75;5.50;N/A;4.00;9.00;15.00;1.00;10.25;6.00;3.00;8.18;1.11;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 83;205;S_r00205;S_r00205@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);22.00;9.35;10.67;N/A;6.00;10.00;;1.00;42.25;10.00;6.00;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 84;206;S_r00206;S_r00206@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);12.30;0.75;5.00;N/A;5.00;2.00;12.00;1.00;13.75;2.00;1.00;3.64;3.33;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 85;207;S_r00207;S_r00207@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);5.97;0.50;5.00;N/A;5.50;12.00;13.00;1.00;9.83;;;;;5.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 86;208;S_r00208;S_r00208@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);5.96;0.00;11.00;N/A;5.00;4.00;12.00;1.00;16.17;7.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 87;209;S_r00209;S_r00209@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);9.07;1.25;7.17;N/A;2.00;1.00;9.00;1.00;20.75;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 88;210;S_r00210;S_r00210@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);23.76;7.75;8.33;N/A;5.50;9.00;15.00;1.00;42.00;7.00;4.00;4.55;5.56;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 89;211;S_r00211;S_r00211@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);11.80;0.00;4.83;N/A;6.00;9.50;14.00;1.00;34.83;6.00;3.00;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 90;212;S_r00212;S_r00212@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);22.37;2.25;11.67;N/A;6.00;4.00;13.00;1.00;32.00;8.00;7.00;8.18;7.78;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 91;213;S_r00213;S_r00213@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;6.67;N/A;4.50;5.00;14.00;1.00;8.58;8.00;;10.00;;9.00;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 92;214;S_r00214;S_r00214@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);5.30;0.25;11.67;N/A;6.00;10.00;15.00;;;6.00;2.00;9.09;8.89;7.00;1.00;0.00;12.00;1.00;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 93;215;S_r00215;S_r00215@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);11.13;5.00;9.67;N/A;5.00;6.00;10.00;1.00;18.50;6.00;5.00;9.09;10.00;7.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 94;216;S_r00216;S_r00216@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);;;8.33;N/A;5.00;9.00;;1.00;20.25;1.00;6.00;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 95;217;S_r00217;S_r00217@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);12.86;1.25;;N/A;;;;1.00;10.25;6.00;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 96;218;S_r00218;S_r00218@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);4.63;0.00;3.67;N/A;4.00;3.50;11.00;;;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 97;219;S_r00219;S_r00219@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);3.76;0.25;7.33;N/A;;7.00;;1.00;11.50;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 98;220;S_r00220;S_r00220@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);17.07;5.00;6.17;N/A;5.00;2.00;13.00;1.00;30.75;4.00;;7.27;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 99;221;S_r00221;S_r00221@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);19.73;8.00;10.00;N/A;6.00;8.00;13.00;1.00;32.00;9.00;6.00;9.09;10.00;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 100;222;S_r00222;S_r00222@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;;N/A;;;;1.00;33.25;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 101;223;S_r00223;S_r00223@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);4.13;1.00;11.00;N/A;2.50;6.50;15.00;1.00;7.08;8.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 102;224;S_r00224;S_r00224@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);13.03;0.10;7.33;N/A;6.00;9.50;;1.00;21.66;8.00;4.00;8.18;10.00;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 103;225;S_r00225;S_r00225@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;6.33;N/A;5.00;8.50;11.00;1.00;15.08;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 104;226;S_r00226;S_r00226@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);5.97;4.75;12.00;N/A;6.00;12.00;15.00;1.00;11.75;10.00;8.00;10.00;10.00;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 105;227;S_r00227;S_r00227@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;2.33;N/A;5.50;2.00;10.00;1.00;13.75;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 106;228;S_r00228;S_r00228@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);15.47;5.00;4.67;N/A;;4.00;;1.00;36.00;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 107;229;S_r00229;S_r00229@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);25.00;3.25;;N/A;6.00;6.50;12.00;1.00;26.25;10.00;4.00;9.09;8.89;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 108;230;S_r00230;S_r00230@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF06 (Z62903);22.04;5.50;11.33;N/A;6.00;8.00;10.00;1.00;27.75;7.00;6.00;7.27;8.89;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 109;231;S_r00231;S_r00231@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF04 (Z62903);19.20;2.00;5.33;N/A;5.50;8.00;13.00;1.00;41.50;7.00;6.00;3.64;7.78;3.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 110;232;S_r00232;S_r00232@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF04 (Z62903);18.83;5.00;8.00;N/A;4.00;10.50;11.00;1.00;32.40;7.00;3.00;6.36;10.00;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 111;233;S_r00233;S_r00233@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);14.43;5.50;5.00;N/A;6.00;11.00;14.00;1.00;20.33;5.00;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 112;234;S_r00234;S_r00234@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);9.43;0.00;;N/A;;;;1.00;17.25;9.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 113;235;S_r00235;S_r00235@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);3.40;0.00;3.00;N/A;3.00;1.00;8.00;1.00;8.33;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 114;236;S_r00236;S_r00236@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);9.30;0.50;12.00;N/A;6.00;12.00;15.00;1.00;33.25;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 115;237;S_r00237;S_r00237@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);24.67;9.75;10.67;N/A;6.00;8.00;9.00;1.00;27.25;8.00;5.00;7.27;8.89;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 116;238;S_r00238;S_r00238@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);22.67;7.00;9.00;N/A;6.00;4.00;10.00;1.00;24.50;;4.00;;6.67;8.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 117;239;S_r00239;S_r00239@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);14.20;5.00;5.00;N/A;6.00;3.50;15.00;1.00;30.00;2.00;;3.64;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 118;240;S_r00240;S_r00240@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;5.33;N/A;2.50;;13.00;1.00;12.83;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 119;241;S_r00241;S_r00241@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);19.20;8.75;4.33;N/A;5.00;4.00;9.00;1.00;26.50;8.00;8.00;8.18;4.44;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 120;242;S_r00242;S_r00242@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF01 (Z62903);14.20;2.00;10.00;N/A;6.00;6.50;15.00;1.00;38.75;8.00;2.00;;;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 121;243;S_r00243;S_r00243@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);18.67;8.00;6.83;N/A;;10.00;;1.00;38.25;6.00;4.00;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 122;244;S_r00244;S_r00244@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF05 (Z62903);21.17;8.75;11.00;N/A;6.00;10.00;15.00;1.00;38.00;8.00;4.00;9.09;7.78;7.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 123;245;S_r00245;S_r00245@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;1.00;16.50;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 124;246;S_r00246;S_r00246@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);18.17;2.00;11.00;N/A;;5.00;;1.00;25.33;6.00;;9.09;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 125;247;S_r00247;S_r00247@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);24.50;6.00;;N/A;;9.50;13.00;1.00;39.50;6.00;5.00;6.36;6.67;4.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 126;248;S_r00248;S_r00248@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);;;1.00;N/A;2.00;;;1.00;21.25;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 127;249;S_r00249;S_r00249@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);9.27;2.50;10.67;N/A;5.00;7.00;13.00;1.00;23.50;9.00;7.00;5.45;10.00;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 128;250;S_r00250;S_r00250@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);;;5.83;N/A;;;;1.00;2.50;8.00;;10.00;;9.00;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 129;251;S_r00251;S_r00251@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF02 (Z62903);17.73;0.00;11.67;N/A;6.00;10.00;15.00;1.00;26.50;9.00;7.00;9.09;5.56;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 130;252;S_r00252;S_r00252@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);28.17;9.75;11.33;N/A;6.00;11.00;15.00;1.00;49.00;10.00;8.00;9.09;8.89;9.00;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 131;253;S_r00253;S_r00253@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF03 (Z62903);14.07;4.25;8.33;N/A;5.00;10.50;13.00;1.00;33.50;;;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 132;254;S_r00254;S_r00254@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF01 (Z62903);21.84;9.75;4.33;N/A;6.00;10.00;13.00;1.00;47.83;10.00;7.00;10.00;10.00;9.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 133;255;S_r00255;S_r00255@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF02 (Z62903);15.53;9.13;8.67;N/A;6.00;8.00;15.00;1.00;43.00;5.00;3.00;3.64;4.44;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 134;256;S_r00256;S_r00256@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);7.87;1.50;7.67;N/A;4.00;5.00;10.00;1.00;16.33;3.00;;1.82;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 135;257;S_r00257;S_r00257@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF03 (Z62903);20.20;9.50;6.00;N/A;6.00;9.00;13.00;1.00;41.75;7.00;;6.36;;8.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 136;258;S_r00258;S_r00258@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI TI 1ITF05 (Z62903);7.30;0.00;7.33;N/A;6.00;2.00;11.00;1.00;12.58;;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 137;259;S_r00259;S_r00259@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS02 (Z56485);;;;N/A;;;;;;;;;;;;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 138;260;S_r00260;S_r00260@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);4.79;1.00;;N/A;1.00;1.50;11.00;1.00;12.25;4.00;0.00;3.64;;3.00;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 139;261;S_r00261;S_r00261@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI ACS 1ACS01 (Z56485);12.90;0.00;9.00;N/A;5.00;8.50;10.00;1.00;17.75;5.00;;;;;1.00;;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
LastName, FirstName 140;262;S_r00262;S_r00262@student.thomasmore.be;1ITF - Application Development in Python (2022 | 2023) and GTI EI 1ITF06 (Z62903);3.80;0.00;5.83;N/A;6.00;4.00;13.00;1.00;16.83;;0.00;;;;1.00;0.00;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;
